maxChars,matches,falsePositives,runs,timestamp
1000,9.6,0,10,2025-04-14T20:51:59.376Z
2000,9.9,0,10,2025-04-14T20:52:20.256Z
4000,9.6,0,10,2025-04-14T20:52:37.589Z
8000,9.5,0,10,2025-04-14T20:53:04.458Z
16000,9.3,0,10,2025-04-14T20:53:24.748Z
32000,9.6,0.1,10,2025-04-14T20:53:46.142Z
64000,9.1,0,10,2025-04-14T20:54:09.189Z
128000,9.5,0.1,10,2025-04-14T20:54:44.864Z
256000,9,0.1,10,2025-04-14T20:55:38.431Z
512000,8.1,0.7,10,2025-04-14T20:56:41.608Z
1024000,8.2,0,10,2025-04-14T22:08:28.610Z
2048000,7.2,0,10,2025-04-14T23:11:20.063Z
3072000,7.6,0.1,10,2025-04-14T23:18:06.185Z
